Día,B,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2017-10-17,36411.16,,,,,,,,,,36973.0,,,,,
2017-10-18,36453.95,0.0011751891453057883,1.0011751891453058,,,,,,,,36861.15,,,,,
2017-10-19,36578.16,0.0034073125134588267,1.004586505895445,,,,,,,,36795.76,,,,,
2017-10-20,36538.77,-0.0010768721007291537,1.0035046947144772,,,,,,,,36670.2,,,,,
2017-10-21,36538.77,0.0,1.0035046947144772,,,,,,,,36541.36,,,,,
2017-10-22,36538.77,0.0,1.0035046947144772,,,,,,,,36685.88,,,,,
2017-10-23,36726.42,0.005135640854905699,1.0086583344227427,,,,,,,,36685.88,,,,,
2017-10-24,36817.14,0.0024701563615512345,1.0111498782241486,,,,,,,,36685.88,,,,,
2017-10-25,36852.52,0.000960965463368435,1.0121215583354113,,,,36631.84,,,,36795.29,,,,,
2017-10-26,36760.58,-0.00249480903883903,1.0095965083232723,,,,36653.235,,,,36829.12,,,,,
2017-10-27,36760.58,0.0,1.0095965083232723,,,,36695.645,,,,36939.87,,,,,
2017-10-28,36760.58,0.0,1.0095965083232723,,,,36695.645,,,,36911.84,36644.78333333333,,,,
2017-10-29,36760.58,0.0,1.0095965083232723,,,,36695.645,,,,36729.18,36673.901666666665,36662.598205128204,,,
2017-10-30,36779.84,0.0005239307976097063,1.010125467027142,,,,36695.645,,,,36729.18,36701.059166666666,36690.199871794866,,,
2017-10-31,37079.17,0.008138425833282614,1.0183462982228524,,,,36902.795,,,,36729.18,36742.81,36759.230064102565,,,
2017-11-01,37079.17,0.0,1.0183462982228524,,,,36919.875,,,,36763.72,36787.84333333333,36794.55769230769,,,
2017-11-02,37192.48,0.003055893645947494,1.0214582562049657,,,,36976.53,,,,36771.7,36842.31916666667,36850.095128205125,,,
2017-11-03,37043.84,-0.003996506820733825,1.0173759913169476,,,,36976.53,,,,36986.26,36884.40833333333,36873.32237179487,,,
2017-11-04,37043.84,0.0,1.0173759913169476,,,,36976.53,,,,36972.57,36910.86,36908.93628205128,,,
2017-11-05,37043.84,0.0,1.0173759913169476,36788.008,37243.33360349448,36332.68239650552,36976.53,,,,36892.88,36929.75166666666,36931.31846153846,,,
2017-11-06,36973.88,-0.0018885731068917222,1.0154546023801492,36816.14399999999,37243.21741874729,36389.070581252694,36976.53,,,,36892.88,36939.865,36936.54064102564,,,
2017-11-07,37131.3,0.004257600230216818,1.0197780021290177,36850.0115,37263.90937487107,36436.11362512893,36986.16,,,,36892.88,36970.75833333333,36969.316538461535,,,
2017-11-08,37113.63,-0.0004758788407625003,1.0192927113555295,36876.784999999996,37286.078810336316,36467.49118966368,37083.18,,,,36952.54,37000.17916666666,36992.73858974359,,,
2017-11-09,37039.82,-0.001988757230160343,1.0172655856061714,36901.8375,37285.577937721995,36518.09706227801,37083.18,,,,36971.9,37023.449166666665,37006.27775641025,,,
2017-11-10,36973.0,-0.0018040044471058225,1.0154304339658502,36923.549,37269.557986518295,36577.5400134817,37082.740000000005,,,,36983.54,37041.15083333333,37015.687756410254,,,
2017-11-11,36973.0,0.0,1.0154304339658502,36945.2605,37242.540361963445,36647.98063803655,37052.15,36801.82000000001,,,36824.84,37057.2475,37030.66608974359,36844.79961538462,,
2017-11-12,36973.0,0.0,1.0154304339658502,36957.5895,37237.291367306876,36677.88763269313,37052.15,36823.215,,,36824.84,37048.4,37044.28634615384,36866.40884615384,36864.52275147929,179.7635946745504
