Día,D,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2017-10-17,31194.01,,,,,,,,,,31625.14,,,,,
2017-10-18,31185.34,-0.00027793797591257885,0.9997220620240874,,,,,,,,31594.36,,,,,
2017-10-19,31207.78,0.0007195688743493189,1.0004414309029204,,,,,,,,31582.58,,,,,
2017-10-20,31225.12,0.0005556306792728893,1.0009973068547457,,,,,,,,31543.91,,,,,
2017-10-21,31225.12,0.0,1.0009973068547457,,,,,,,,31498.08,,,,,
2017-10-22,31225.12,0.0,1.0009973068547457,,,,,,,,31483.78,,,,,
2017-10-23,31355.16,0.0041645956845002274,1.0051660559190694,,,,,,,,31483.78,,,,,
2017-10-24,31479.68,0.0039712761791041995,1.0091578479329848,,,,,,,,31483.78,,,,,
2017-10-25,31541.18,0.0019536412060097152,1.0111293802880748,,,,31363.260000000002,,,,31511.56,,,,,
2017-10-26,31432.91,-0.0034326553413664973,1.0076585216200162,,,,31363.260000000002,,,,31551.49,,,,,
2017-10-27,31432.91,0.0,1.0076585216200162,,,,31374.48,,,,31495.95,,,,,
2017-10-28,31432.91,0.0,1.0076585216200162,,,,31383.15,,,,31460.39,31328.103333333333,,,,
2017-10-29,31432.91,0.0,1.0076585216200162,,,,31383.15,,,,31369.16,31348.01166666667,31344.227435897435,,,
2017-10-30,31479.51,0.0014825226172185957,1.009152398168751,,,,31383.15,,,,31369.16,31372.525833333333,31368.24217948718,,,
2017-10-31,31591.78,0.003566446872902418,1.012751486583482,,,,31473.47,,,,31369.16,31404.525833333333,31406.257243589742,,,
2017-11-01,31591.78,0.0,1.012751486583482,,,,31512.345,,,,31406.72,31435.08083333333,31433.334166666667,,,
2017-11-02,31630.85,0.0012367141072773258,1.0140039706341057,,,,31531.879999999997,,,,31441.24,31468.891666666666,31465.19916666666,,,
2017-11-03,31603.25,-0.0008725658652865009,1.0131191853820654,,,,31531.879999999997,,,,31470.72,31500.4025,31489.56217948718,,,
2017-11-04,31603.25,0.0,1.0131191853820654,,,,31531.879999999997,,,,31474.9,31521.07666666667,31516.22519230769,,,
2017-11-05,31603.25,0.0,1.0131191853820654,31423.691,31740.278368407042,31107.103631592956,31531.879999999997,,,,31459.36,31531.374166666665,31533.718717948723,,,
2017-11-06,31568.25,-0.001107481034387292,1.011997175098681,31442.403,31746.328507655617,31138.47749234438,31531.879999999997,,,,31459.36,31533.63,31537.04737179487,,,
2017-11-07,31612.85,0.0014128119233722813,1.0134269367740794,31463.778500000004,31751.938425323217,31175.61857467679,31555.18,,,,31459.36,31548.625,31545.817692307694,,,
2017-11-08,31610.89,-6.200010438794923e-05,1.0133641041982098,31483.933999999997,31753.226750329042,31214.641249670953,31599.55,,,,31490.36,31563.456666666665,31558.20423076923,,,
2017-11-09,31628.47,0.0005561374576925626,1.0139276739348355,31504.1015,31752.202557673554,31256.000442326447,31599.55,,,,31477.42,31579.75333333333,31573.458717948717,,,
2017-11-10,31625.14,-0.00010528489048000633,1.0138209226707307,31524.1025,31741.270761420856,31306.934238579146,31599.55,,,,31483.69,31595.772500000003,31586.735897435894,,,
2017-11-11,31625.14,0.0,1.0138209226707307,31544.103499999997,31715.959886637753,31372.247113362242,31598.36,31408.095,,,31453.32,31607.908333333336,31600.29057692308,31467.09846153846,,
2017-11-12,31625.14,0.0,1.0138209226707307,31557.602499999997,31708.95445556425,31406.250544435745,31598.36,31408.095,,,31453.32,31610.688333333335,31610.559358974362,31483.68038461538,31491.412544378694,119.14681459566782
2017-11-13,31594.36,-0.0009732763238360365,1.0128341947700856,31563.336499999998,31711.05231896844,31415.620681031556,31598.36,31419.315,,,31453.32,31610.903333333335,31608.176282051285,31499.41192307692,31500.708017751476,107.46826429980865
2017-11-14,31582.58,-0.0003728513570143699,1.0124565581661351,31565.4065,31712.981065062606,31417.831934937396,31598.36,31427.985,,,31453.32,31606.880833333333,31606.5458974359,31513.827307692307,31512.207011834318,94.33888560158084
2017-11-15,31543.91,-0.001224409152133954,1.0112168970901785,31570.956499999993,31705.855068065845,31436.05793193414,31586.190000000002,31427.985,,,31477.57,31601.935833333333,31597.193012820513,31526.088461538464,31518.455414201184,78.73759861932922
2017-11-16,31498.08,-0.0014528953449334248,1.0097477047676782,31574.215000000004,31698.212664757633,31450.217335242374,31563.275,31427.985,,,31481.04,31593.171666666665,31585.958012820513,31536.586923076924,31521.779467455624,64.17854536488812
2017-11-17,31483.78,-0.0004539959261009585,1.0092892834233238,31576.758500000004,31690.62564357257,31462.891356427437,31556.125,31493.004999999997,,,31492.62,31583.215833333332,31576.34217948718,31546.535384615385,31528.46278106509,47.87939842209016
2017-11-18,31483.78,0.0,1.0092892834233238,31579.301999999996,31681.789609908912,31476.81439009108,31554.46,31531.879999999997,,,31437.54,31576.176666666666,31567.91801282051,31551.482307692306,31536.880710059173,31.03730276133865
2017-11-19,31483.78,0.0,1.0092892834233238,31579.515499999998,31681.176218583692,31477.854781416303,31554.46,31531.879999999997,,,31356.15,31565.420833333334,31561.961794871793,31551.64,31541.066568047336,20.895226824457495
2017-11-20,31511.56,0.0008823591068163328,1.0101798390139645,31575.504500000003,31681.207540052754,31469.80145994725,31554.46,31531.879999999997,,,31356.15,31557.14333333333,31557.13455128205,31550.50076923077,31545.473846153847,11.660705128204427
2017-11-21,31551.49,0.0012671540222064515,1.0114598924601228,31573.49,31679.413395328105,31467.566604671898,31539.07,31531.879999999997,,,31356.15,31550.728333333333,31556.27358974359,31555.061538461538,31550.65295857988,5.620631163707003
2017-11-22,31495.95,-0.0017602972157575447,1.009679422427575,31566.745000000003,31674.38425928505,31459.105740714956,31533.18,31531.879999999997,,,31367.88,31539.962499999998,31542.300897435896,31557.486153846156,31545.9674556213,-3.666558185403119
2017-11-23,31460.39,-0.0011290340504096497,1.0085394599796562,31559.602000000003,31675.349520723994,31443.85447927601,31505.940000000002,31531.879999999997,,,31498.98,31526.233333333334,31527.720576923075,31558.543076923077,31542.54828402367,-14.827707100594125
2017-11-24,31369.16,-0.002899836906026909,1.0056148600324228,31547.897500000003,31688.579221315613,31407.215778684393,31460.325,31500.004999999997,,,31478.15,31504.90166666666,31502.068205128206,31556.091153846155,31529.40721893491,-27.339013806704315
2017-11-25,31369.16,0.0,1.0056148600324228,31536.193,31694.550962865636,31377.835037134362,31460.325,31500.004999999997,,,31532.15,31486.135,31484.01833333333,31551.84692307692,31527.3325147929,-43.31418145956923
2017-11-26,31369.16,0.0,1.0056148600324228,31526.2385,31699.760393867393,31352.716606132606,31460.325,31500.004999999997,,,31606.29,31468.349999999995,31468.138846153844,31543.284615384615,31523.741242603548,-55.60239644970352
2017-11-27,31406.72,0.0011973543442029833,1.0068189373536778,31515.931999999993,31692.147140769288,31339.7168592307,31460.325,31500.004999999997,,,31606.29,31456.9175,31458.86846153846,31536.166923076922,31522.274674556214,-63.40621301775536
2017-11-28,31441.24,0.0010991278299676832,1.0079255600674617,31507.449500000006,31680.844023464433,31334.05497653558,31460.325,31498.815000000002,,,31606.29,31452.180833333332,31454.50557692308,31528.874230769234,31521.562781065088,-67.05720414200914
2017-11-29,31470.72,0.0009376220530741275,1.0088706133004381,31499.561999999998,31664.260486965897,31334.8635130341,31460.325,31498.815000000002,,,31606.29,31451.092500000002,31455.033012820513,31523.776923076926,31519.927426035505,-64.8944132149918
2017-11-30,31474.9,0.00013282187379259902,1.009004613385711,31492.05,31646.425775466556,31337.674224533443,31432.555,31498.815000000002,,,31650.74,31450.352499999997,31454.755192307694,31518.84038461539,31516.257396449706,-61.50220414201249
2017-12-01,31459.36,-0.0004937267473447138,1.0085064408198883,31483.761000000006,31625.848074069403,31341.67392593061,31422.03,31498.815000000002,,,31663.55,31448.3175,31451.738269230766,31513.306153846155,31509.689556213023,-57.95128698225744
2017-12-02,31459.36,0.0,1.0085064408198883,31475.472,31601.92323836459,31349.020761635413,31422.03,31498.815000000002,,,31659.43,31443.967500000002,31450.016346153847,31509.118076923078,31505.006745562132,-54.99039940828516
2017-12-03,31459.36,0.0,1.0085064408198883,31468.722,31582.741033955514,31354.70296604449,31422.03,31498.815000000002,,,31678.63,31436.289999999997,31446.33557692308,31503.214615384615,31501.46298816568,-55.12741124259992
2017-12-04,31490.36,0.0009853983043519587,1.0095002213566002,31464.110999999997,31566.032131933403,31362.18986806659,31429.760000000002,31498.815000000002,,,31678.63,31435.82416666667,31444.60846153846,31498.578846153847,31501.23698224852,-56.62852071005909
2017-12-05,31477.42,-0.0004109194051767906,1.0090853981261145,31460.786500000006,31556.135958776402,31365.43704122361,31448.54,31497.15,,,31678.63,31437.243333333332,31442.223525641028,31492.76923076923,31495.323639053255,-53.100113412227074
2017-12-06,31483.69,0.00019919040378790775,1.0092863982540237,31460.067,31554.48247719861,31365.65152280139,31465.800000000003,31497.15,,,31678.63,31446.787500000002,31444.38897435897,31487.328846153843,31491.3724260355,-46.98345167652951
2017-12-07,31453.32,-0.0009646264462647158,1.0083128139024127,31458.544,31552.35452334323,31364.733476656773,31471.84,31497.15,31503.2275,,31720.05,31453.80083333333,31447.792500000003,31480.72038461539,31482.096715976328,-34.304215976324485
2017-12-08,31453.32,0.0,1.0083128139024127,31457.021,31550.121949894787,31363.920050105215,31471.84,31481.760000000002,31503.2275,,31702.63,31460.814166666667,31453.726858974358,31474.111923076925,31476.504940828407,-22.77808185404865
2017-12-09,31453.32,0.0,1.0083128139024127,31455.498,31547.782343627638,31363.21365637236,31471.84,31475.870000000003,31508.8375,,31706.17,31464.6975,31459.661217948717,31468.68730769231,31470.913165680475,-11.251947731758264
2017-12-10,31453.32,0.0,1.0083128139024127,31452.586,31541.1726690413,31363.999330958697,31471.84,31460.325,31513.1725,,31738.57,31465.704166666666,31462.947115384613,31463.71576923077,31466.32310650888,-3.375991124266875
