Día,A,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2017-10-17,42810.71,,,,,,,,,,43543.58,,,,,
2017-10-18,42883.63,0.0017033120917639977,1.001703312091764,,,,,,,,43364.61,,,,,
2017-10-19,43085.65,0.004710888513868916,1.0064222247190016,,,,,,,,43276.72,,,,,
2017-10-20,43038.79,-0.0010876010922430401,1.0053276388081396,,,,,,,,43079.91,,,,,
2017-10-21,43038.79,0.0,1.0053276388081396,,,,,,,,42889.85,,,,,
2017-10-22,43038.79,0.0,1.0053276388081396,,,,,,,,43162.77,,,,,
2017-10-23,43282.09,0.005653039966969198,1.0110107961302208,,,,,,,,43162.77,,,,,
2017-10-24,43348.71,0.0015392047842421874,1.012566948784545,,,,,,,,43162.77,,,,,
2017-10-25,43392.83,0.0010177926863337294,1.0135975320194412,,,,43101.770000000004,,,,43309.3,,,,,
2017-10-26,43293.27,-0.002294388266448788,1.0112719457350743,,,,43138.229999999996,,,,43427.86,,,,,
2017-10-27,43293.27,0.0,1.0112719457350743,,,,43215.81,,,,43677.49,,,,,
2017-10-28,43293.27,0.0,1.0112719457350743,,,,43215.81,,,,43678.53,43149.98333333333,,,,
2017-10-29,43293.27,0.0,1.0112719457350743,,,,43215.81,,,,43464.19,43190.19666666666,43172.027435897435,,,
2017-10-30,43311.36,0.0004178478548744202,1.0116945035482943,,,,43215.81,,,,43464.19,43225.84083333333,43208.83717948718,,,
2017-10-31,43726.79,0.0095917098885836,1.021398383722204,,,,43504.44,,,,43464.19,43279.269166666665,43302.909935897434,,,
2017-11-01,43726.79,0.0,1.021398383722204,,,,43510.03,,,,43518.28,43336.6025,43348.118525641024,,,
2017-11-02,43893.44,0.003811164734479844,1.0252911012221009,,,,43593.354999999996,,,,43516.88,43407.823333333334,43422.26980769231,,,
2017-11-03,43677.8,-0.004912807016264842,1.020254043906303,,,,43593.354999999996,,,,43886.68,43461.074166666665,43449.35820512821,,,
2017-11-04,43677.8,0.0,1.020254043906303,,,,43593.354999999996,,,,43880.64,43494.049999999996,43494.4166025641,,,
2017-11-05,43677.8,0.0,1.020254043906303,43339.2425,43940.6543156264,42737.8306843736,43593.354999999996,,,,43792.14,43521.47416666667,43522.31923076923,,,
2017-11-06,43563.79,-0.00261025051628061,1.0175909252614592,43376.8965,43933.38240393781,42820.4105960622,43593.354999999996,,,,43792.14,43535.72083333333,43527.98429487179,,,
2017-11-07,43798.46,0.005386813222632902,1.0230724975128889,43422.638,43959.250495201166,42886.02550479883,43602.4,,,,43792.14,43577.82,43576.14224358974,,,
2017-11-08,43762.89,-0.0008121290109286416,1.0222416306573754,43456.5,43989.19424758804,42923.80575241196,43728.615000000005,,,,43862.67,43616.955,43606.29230769231,,,
2017-11-09,43648.49,-0.0026140869581511295,1.0195694021425947,43486.985,43989.15978032595,42984.81021967405,43728.615000000005,,,,43888.22,43646.556666666664,43621.80653846154,,,
2017-11-10,43543.58,-0.0024035195719255276,1.0171188471296086,43512.2245,43970.0842236702,43054.36477632979,43718.51,,,,43920.6,43667.41583333333,43630.7141025641,,,
2017-11-11,43543.58,0.0,1.0171188471296086,43537.464,43939.88106427256,43135.04693572744,43671.020000000004,43352.075,,,43712.84,43686.7675,43648.364166666666,43409.44769230769,,
2017-11-12,43543.58,0.0,1.0171188471296086,43550.5385,43935.336936189546,43165.74006381046,43671.020000000004,43388.535,,,43712.84,43671.5,43664.73865384616,43437.635,43430.08343195266,234.65522189349576
2017-11-13,43364.61,-0.004110135179514418,1.012938351174274,43551.33349999999,43934.505412614024,43168.16158738596,43581.535,43466.115000000005,,,43712.84,43641.318333333336,43624.28615384615,43456.13423076923,43426.40038461539,197.8857692307647
