Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-05-18,47373.43,0.004069184832001582,1.1589458539677395,47292.4905,47572.953950470495,47012.027049529504,47359.71000000001,46981.985,45682.1375,45690.835,48546.32,47346.244166666664,47332.59461538462,47139.779615384614,47140.750384615385,191.8442307692385
2020-05-19,47977.89,0.012759472978840725,1.1737333922753803,47334.4945,47736.577322491445,46932.41167750856,47579.665,47259.07,45754.6,45690.835,48546.32,47405.24583333333,47443.420448717945,47199.468076923076,47268.71967455621,174.70077416173444
2020-05-20,48131.02,0.0031916785002423786,1.1774795719085223,47375.33,47907.42467273678,46843.235327263224,47656.229999999996,47335.634999999995,45767.145000000004,45690.835,48585.39,47466.79416666667,47516.90339743589,47257.57153846154,47342.78375739645,174.11964003944013
2020-05-21,48131.02,0.0,1.1774795719085223,47416.1655,48041.53941987276,46790.79158012725,47656.229999999996,47335.634999999995,45838.9525,45690.835,48589.24,47528.3425,47568.98275641025,47315.675,47391.94822485207,177.03453155817988
2020-05-22,48073.49,-0.0011952790528851898,1.1760721552410198,47454.1245,48140.07595275446,46768.17304724554,47656.229999999996,47335.634999999995,45924.075000000004,45690.835,48444.55,47585.09666666667,47612.21134615385,47371.565769230765,47432.26192307693,179.94942307691963
2020-05-23,48073.49,0.0,1.1760721552410198,47492.0835,48225.781649592645,46758.385350407356,47656.229999999996,47544.125,45924.075000000004,45690.835,49059.44,47635.47083333333,47660.23410256411,47430.536538461536,47479.554112426034,180.67999013807275
2020-05-24,48073.49,0.0,1.1760721552410198,47534.957,48299.03663033168,46770.87736966833,47656.229999999996,47547.145,46126.895000000004,45690.835,49642.55,47681.38166666666,47702.8583974359,47473.469615384616,47529.4524556213,173.40594181459892
2020-05-25,48275.15,0.004194827544245383,1.181005575111845,47600.551,48382.28939440635,46818.81260559365,47728.295,47619.21,46217.185,45522.729999999996,49642.55,47742.8125,47772.730641025635,47517.21346153846,47596.8050591716,175.92558185403323
2020-05-26,48443.41,0.003485437124483237,1.1851218957875613,47666.6945,48497.64250399169,46835.74649600831,47908.42,47703.34,46305.435,45150.41,49642.55,47841.39250000001,47850.59673076923,47560.64038461539,47659.705236686386,190.8914940828472
2020-05-27,48506.25,0.0012971836623392186,1.1866592165486574,47728.5135,48614.9085124033,46842.1184875967,48242.07,47734.759999999995,46337.25,45130.965,50159.25,47951.793333333335,47943.678269230775,47606.48423076923,47706.11878698225,237.55948224852182
